Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       73     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, char const*)
  0.00      0.00     0.00       50     0.00     0.00  std::list<unsigned int, std::allocator<unsigned int> >::erase(std::_List_iterator<unsigned int>)
  0.00      0.00     0.00       50     0.00     0.00  unsigned int const* std::__addressof<unsigned int const>(unsigned int const&)
  0.00      0.00     0.00       50     0.00     0.00  unsigned int* std::__addressof<unsigned int>(unsigned int&)
  0.00      0.00     0.00       45     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> >&&, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00       43     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, char const*)
  0.00      0.00     0.00       37     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      0.00     0.00       37     0.00     0.00  std::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
  0.00      0.00     0.00       32     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.00     0.00       32     0.00     0.00  std::_Rb_tree_node<int>*& std::forward<std::_Rb_tree_node<int>*&>(std::remove_reference<std::_Rb_tree_node<int>*&>::type&)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::deallocate(std::_Rb_tree_node<int>*, unsigned long)
  0.00      0.00     0.00       16     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::destroy<std::_Rb_tree_node<int> >(std::_Rb_tree_node<int>*)
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::allocate(unsigned long, void const*)
  0.00      0.00     0.00       16     0.00     0.00  _ZN9__gnu_cxx13new_allocatorISt13_Rb_tree_nodeIiEE9constructIS2_IRKiEEEvPT_DpOT0_
  0.00      0.00     0.00       16     0.00     0.00  partition::partition()
  0.00      0.00     0.00       16     0.00     0.00  partition::~partition()
  0.00      0.00     0.00       16     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::max_size() const
  0.00      0.00     0.00       16     0.00     0.00  std::_List_const_iterator<unsigned int>::operator==(std::_List_const_iterator<unsigned int> const&) const
  0.00      0.00     0.00       16     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator*() const
  0.00      0.00     0.00       16     0.00     0.00  std::_Rb_tree_node<int>::_Rb_tree_node<int const&>(int const&)
  0.00      0.00     0.00       16     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::__construct_helper<std::_Rb_tree_node<int>, int const&>::value, void>::type std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::_S_construct<std::_Rb_tree_node<int>, int const&>(std::allocator<std::_Rb_tree_node<int> >&, std::_Rb_tree_node<int>*, int const&)
  0.00      0.00     0.00       16     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<int const&>)({parm#3}))) std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::construct<std::_Rb_tree_node<int>, int const&>(std::allocator<std::_Rb_tree_node<int> >&, std::_Rb_tree_node<int>*, int const&)
  0.00      0.00     0.00       16     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator++()
  0.00      0.00     0.00       16     0.00     0.00  std::set<int, std::less<int>, std::allocator<int> >::insert(int const&)
